Currency,Current_Price,Old_Price,% inc or dec.
Canada eCoin,$0.011056,$0.000262,4119.84732824427
Swarm,$0.834174,$0.020112,4047.64319809069
BumbaCoin,$0.007103,$0.000172,4029.6511627907
Beatcoin,$0.059164,$0.001476,3908.40108401084
Asch,$0.749073,$0.019114,3818.97561996442
Triangles,$3.19,$0.082872,3749.30977893619
BlueCoin,$0.003742,$0.000099,3679.79797979798
Jin Coin,$0.013147,$0.000359,3562.11699164345
Regacoin,$0.000460,$0.000013,3438.46153846154
AudioCoin,$0.001509,$0.000043,3409.3023255814
TrustPlus,$0.039114,$0.001158,3277.72020725389
Anoncoin,$1.12,$0.033585,3234.82209319637
MonaCoin,$2.86,$0.085967,3226.85798038782
Monero,$125.73,$3.78,3226.19047619048
Aidos Kuneen,$21.04,$0.633656,3220.4135998081
SatoshiMadness,$0.000066,$0.000002,3200
UnbreakableCoin,$0.385418,$0.011717,3189.39148246138
Synereo,$0.134506,$0.004116,3167.8814382896
Money,$0.001183,$0.000037,3097.2972972973
Bitz,$0.090723,$0.002854,3078.80168185004
PetroDollar,$0.009203,$0.000297,2998.6531986532
TopCoin,$0.000986,$0.000032,2981.25
Eurocoin,$0.006902,$0.000225,2967.55555555556
Shorty,$0.008543,$0.000279,2962.00716845878
Ethos,$1.78,$0.058433,2946.22388034159
BTCtalkcoin,$0.006442,$0.000213,2924.41314553991
DigiByte,$0.027964,$0.000932,2900.42918454936
Quark,$0.008863,$0.000298,2874.1610738255
Pascal Coin,$0.597896,$0.020371,2835.03509891512
SolarCoin,$0.241962,$0.008663,2693.0509061526
LanaCoin,$0.000492,$0.000018,2633.33333333333
2GIVE,$0.006322,$0.000232,2625
VeriCoin,$0.277432,$0.010215,2615.92755751346
BigUp,$0.000190,$0.000007,2614.28571428571
Nuls,$2.66,$0.100514,2546.39751676383
MarteXcoin,$0.228697,$0.008671,2537.49279206551
Golem,$0.387945,$0.014854,2511.7207486199
BitBay,$0.026996,$0.001048,2475.95419847328
MaidSafeCoin,$0.326499,$0.012791,2452.56821202408
SmileyCoin,$0.000051,$0.000002,2450
ArtByte,$0.004661,$0.000183,2446.99453551913
Bolivarcoin,$0.012443,$0.000489,2444.58077709611
Manna,$0.003550,$0.000140,2435.71428571429
Zurcoin,$0.001232,$0.000049,2414.28571428571
TrumpCoin,$0.052515,$0.002100,2400.71428571429
SoonCoin,$0.005522,$0.000223,2376.2331838565
Renos,$0.027412,$0.001140,2304.56140350877
High Voltage,$0.046017,$0.001914,2304.23197492163
Triggers,$0.476232,$0.020207,2256.76745682189
Oyster,$0.224574,$0.009546,2252.54556882464
IslaCoin,$0.133929,$0.005721,2241.00681699004
TRON,$0.042829,$0.001847,2218.84136437466
FuzzBalls,$0.009861,$0.000427,2209.36768149883
Litecoin,$99.30,$4.33,2193.3025404157
TajCoin,$0.009715,$0.000433,2143.64896073903
Bitcoin 21,$0.106495,$0.004771,2132.13162858939
PokeCoin,$0.000131,$0.000006,2083.33333333333
ECC,$0.000850,$0.000039,2079.48717948718
First Bitcoin,$0.014528,$0.000674,2055.48961424332
Unobtanium,$136.69,$6.41,2032.44929797192
Influxcoin,$0.090783,$0.004324,1999.51433857539
Ark,$1.68,$0.080228,1994.03200877499
OmiseGO,$9.04,$0.439359,1957.54292048188
Solaris,$3.38,$0.165789,1938.73598369011
FedoraCoin,$0.000020,$0.000001,1900
LeaCoin,$0.000478,$0.000024,1891.66666666667
AllSafe,$0.004038,$0.000205,1869.75609756098
Augur,$30.51,$1.61,1795.03105590062
Nxt,$0.116297,$0.006166,1786.10120012974
BlackCoin,$0.158213,$0.008424,1778.1220322887
BitShares,$0.154732,$0.008709,1676.69077965323
Carboncoin,$0.000088,$0.000005,1660
PostCoin,$0.012222,$0.000695,1658.56115107914
KiloCoin,$0.032869,$0.001880,1648.35106382979
Tattoocoin (L...,$2.60,$0.151046,1621.32992598281
Prototanium,$1.06,$0.061750,1616.5991902834
Hush,$0.560195,$0.032821,1606.81880503336
CampusCoin,$0.004594,$0.000274,1576.64233576642
Komodo,$1.97,$0.117562,1575.71153944302
bitBTC,$6640.90,$396.56,1574.62679039742
Experience Po...,$0.000099,$0.000006,1550
Alphabit,$22.35,$1.36,1543.38235294118
GeoCoin,$1.03,$0.062765,1541.04198199634
Yocoin,$0.035244,$0.002291,1438.36752509821
Argentum,$0.164052,$0.010871,1409.0792015454
Capricoin,$0.780276,$0.051985,1400.96373954025
Save and Gain,$0.003000,$0.000213,1308.45070422535
NeosCoin,$1.69,$0.121254,1293.76845299949
Uniform Fisca...,$0.000526,$0.000038,1284.21052631579
Memetic / Pep...,$0.112395,$0.008190,1272.34432234432
CompuCoin,$0.002827,$0.000207,1265.70048309179
Coin(O),$0.001446,$0.000106,1264.15094339623
GeyserCoin,$0.509750,$0.037383,1263.5877270417
Mooncoin,$0.000054,$0.000004,1250
SuperNET,$56.99,$4.28,1231.54205607477
I/O Coin,$0.693529,$0.052800,1213.50189393939
ZCoin,$21.74,$1.66,1209.63855421687
NewYorkCoin,$0.000065,$0.000005,1200
Opal,$0.021430,$0.001667,1185.54289142172
WhiteCoin,$0.106810,$0.008323,1183.31130601946
GridCoin,$0.030184,$0.002419,1147.7883422902
Safe Trade Coin,$0.000460,$0.000037,1143.24324324324
Cabbage,$0.025966,$0.002089,1142.98707515558
Circuits of V...,$0.004733,$0.000381,1142.25721784777
GuccioneCoin,$0.002104,$0.000170,1137.64705882353
VeChain,$2.94,$0.238212,1134.19475089416
Impact,$0.001972,$0.000161,1124.84472049689
PutinCoin,$0.003162,$0.000260,1116.15384615385
AnarchistsPrime,$0.003679,$0.000303,1114.19141914191
IrishCoin,$0.006179,$0.000524,1079.19847328244
X-Coin,$0.013942,$0.001204,1057.97342192691
